direction,classifier,feature,delta_j_norm
pd_to_als,rf,double_support_s,0.05011171366453457
pd_to_als,rf,double_support_pct,0.4220372429160914
pd_to_als,rf,asymmetry_index,0.1472188485977499
pd_to_als,rf,cv_stride,0.0013900987512424803
pd_to_als,rf,cv_swing,0.03404992981018078
pd_to_als,rf,dfa_alpha_stride,0.05420998146379806
pd_to_als,svm,left_stride_s,0.992635784395668
pd_to_als,svm,right_stride_s,0.9181642168488934
pd_to_als,svm,left_swing_s,0.26759640083193176
pd_to_als,svm,right_swing_s,0.07698665837463002
pd_to_als,svm,left_swing_pct,0.06350111165215701
pd_to_als,svm,right_swing_pct,0.24572157879321926
pd_to_als,svm,left_stance_s,0.841153515161365
pd_to_als,svm,right_stance_s,0.5984525208477329
pd_to_als,svm,double_support_s,0.4160674632736966
pd_to_als,svm,double_support_pct,0.04535618770980277
pd_to_als,svm,asymmetry_index,0.05323166741025118
pd_to_als,svm,cv_stride,0.02828369087702375
pd_to_als,svm,cv_swing,0.19161286138054526
pd_to_als,svm,dfa_alpha_stride,0.13630390306251652
pd_to_als,xgb,left_stride_s,0.8017140181333109
pd_to_als,xgb,right_stride_s,0.759291801808946
pd_to_als,xgb,left_swing_s,0.604454079316046
pd_to_als,xgb,right_swing_s,0.7156287456434505
pd_to_als,xgb,left_swing_pct,0.28596828306129085
pd_to_als,xgb,right_swing_pct,0.3248466847805211
pd_to_als,xgb,left_stance_s,0.2188207620446758
pd_to_als,xgb,right_stance_s,0.4148544896482774
pd_to_als,xgb,double_support_s,0.607657799899256
pd_to_als,xgb,double_support_pct,0.2303065734673803
pd_to_als,xgb,asymmetry_index,0.04729793728522021
pd_to_als,xgb,cv_stride,0.12155438243644484
pd_to_als,xgb,cv_swing,0.18378492162920948
pd_to_als,xgb,dfa_alpha_stride,0.03093792541117698
pd_to_hd,dt,left_stride_s,0.20627073181512384
pd_to_hd,dt,right_stride_s,0.16809860437087387
pd_to_hd,dt,left_swing_s,0.0
pd_to_hd,dt,right_swing_s,0.0
pd_to_hd,dt,left_swing_pct,0.0
pd_to_hd,dt,right_swing_pct,0.0
pd_to_hd,dt,left_stance_s,0.0
pd_to_hd,dt,right_stance_s,0.0
