scope,domain,corruption,variant,severity,classifier,mean_f1
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,svm,0.7724721333333334
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,light,xgb,0.7165322000000001
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,dt,0.8072901666666666
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,knn,0.6759197333333334
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,lgbm,0.6690400333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,qda,0.7377114333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,rf,0.7860071333333333
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,svm,0.7538629
cross,als_to_pd,engineered_feature_gain_bias_drift,target_relative,medium,xgb,0.7004074333333333
cross,als_to_pd,engineered_feature_masking,direct,heavy,dt,0.8261763
cross,als_to_pd,engineered_feature_masking,direct,heavy,knn,0.6621716666666665
cross,als_to_pd,engineered_feature_masking,direct,heavy,lgbm,0.6712838666666665
cross,als_to_pd,engineered_feature_masking,direct,heavy,qda,0.7226577333333334
cross,als_to_pd,engineered_feature_masking,direct,heavy,rf,0.8043682333333334
cross,als_to_pd,engineered_feature_masking,direct,heavy,svm,0.6625815333333333
cross,als_to_pd,engineered_feature_masking,direct,heavy,xgb,0.7044248333333333
cross,als_to_pd,engineered_feature_masking,direct,light,dt,0.8482098333333332
cross,als_to_pd,engineered_feature_masking,direct,light,knn,0.6801496333333336
cross,als_to_pd,engineered_feature_masking,direct,light,lgbm,0.7167817000000001
cross,als_to_pd,engineered_feature_masking,direct,light,qda,0.7869005
cross,als_to_pd,engineered_feature_masking,direct,light,rf,0.8135438
cross,als_to_pd,engineered_feature_masking,direct,light,svm,0.7562241666666668
cross,als_to_pd,engineered_feature_masking,direct,light,xgb,0.7154354666666668
cross,als_to_pd,engineered_feature_masking,direct,medium,dt,0.8381778000000001
cross,als_to_pd,engineered_feature_masking,direct,medium,knn,0.6734549
cross,als_to_pd,engineered_feature_masking,direct,medium,lgbm,0.6982211
cross,als_to_pd,engineered_feature_masking,direct,medium,qda,0.7621279333333333
cross,als_to_pd,engineered_feature_masking,direct,medium,rf,0.8106638333333333
cross,als_to_pd,engineered_feature_masking,direct,medium,svm,0.7191033
cross,als_to_pd,engineered_feature_masking,direct,medium,xgb,0.7118832333333334
cross,als_to_pd,evaluation_row_dropout,direct,heavy,dt,0.8558770333333333
cross,als_to_pd,evaluation_row_dropout,direct,heavy,knn,0.6837202
cross,als_to_pd,evaluation_row_dropout,direct,heavy,lgbm,0.7255991666666667
cross,als_to_pd,evaluation_row_dropout,direct,heavy,qda,0.7984604999999999
cross,als_to_pd,evaluation_row_dropout,direct,heavy,rf,0.8154656666666668
cross,als_to_pd,evaluation_row_dropout,direct,heavy,svm,0.7744414
cross,als_to_pd,evaluation_row_dropout,direct,heavy,xgb,0.7174734666666666
cross,als_to_pd,evaluation_row_dropout,direct,light,dt,0.8549652999999999
cross,als_to_pd,evaluation_row_dropout,direct,light,knn,0.6833220666666666
cross,als_to_pd,evaluation_row_dropout,direct,light,lgbm,0.7257385666666668
cross,als_to_pd,evaluation_row_dropout,direct,light,qda,0.798536566666667
cross,als_to_pd,evaluation_row_dropout,direct,light,rf,0.8157171000000001
cross,als_to_pd,evaluation_row_dropout,direct,light,svm,0.7749602333333332
