direction,classifier,feature,delta_j
hd_to_als,qda,right_stride_s,0.01635904875306947
hd_to_als,qda,left_swing_s,0.0014405837003984498
hd_to_als,qda,right_swing_s,0.001382812636667119
hd_to_als,qda,left_swing_pct,0.0029167604224798124
hd_to_als,qda,right_swing_pct,0.0028432844717922595
hd_to_als,qda,left_stance_s,0.011235539926345503
hd_to_als,qda,right_stance_s,0.008369618746309822
hd_to_als,qda,double_support_s,0.004147711689618583
hd_to_als,qda,double_support_pct,0.0033948886799377437
hd_to_als,qda,asymmetry_index,0.005713452584321739
hd_to_als,qda,cv_stride,0.027195651162024964
hd_to_als,qda,cv_swing,0.015944397864422737
hd_to_als,qda,dfa_alpha_stride,0.006490668993837368
hd_to_als,rf,left_stride_s,0.0011016197208354975
hd_to_als,rf,right_stride_s,0.0028306351618620886
hd_to_als,rf,left_swing_s,3.835265393545414e-05
hd_to_als,rf,right_swing_s,6.950601318659179e-05
hd_to_als,rf,left_swing_pct,0.0003072137646866679
hd_to_als,rf,right_swing_pct,0.0003195731186773996
hd_to_als,rf,left_stance_s,0.0010660003854881476
hd_to_als,rf,right_stance_s,0.003827377939901516
hd_to_als,rf,double_support_s,0.00030258819813042126
hd_to_als,rf,double_support_pct,0.0003410791959410956
hd_to_als,rf,asymmetry_index,0.0021417826731791045
hd_to_als,rf,cv_stride,0.02621426175869987
hd_to_als,rf,cv_swing,0.013707116693465637
hd_to_als,rf,dfa_alpha_stride,0.008686279432842572
hd_to_als,svm,left_stride_s,0.02317827913019296
hd_to_als,svm,right_stride_s,0.023423449743492284
hd_to_als,svm,left_swing_s,0.0009135604462066713
hd_to_als,svm,right_swing_s,0.002172570922133299
hd_to_als,svm,left_swing_pct,0.006255329211569339
hd_to_als,svm,right_swing_pct,0.004666386358869795
hd_to_als,svm,left_stance_s,0.02168838342523927
hd_to_als,svm,right_stance_s,0.012150329348771314
hd_to_als,svm,double_support_s,0.008114857340334675
hd_to_als,svm,double_support_pct,0.005865106676280491
hd_to_als,svm,asymmetry_index,0.010678478915271539
hd_to_als,svm,cv_stride,0.07971251241400584
hd_to_als,svm,cv_swing,0.02847341465351426
hd_to_als,svm,dfa_alpha_stride,0.0233050708433344
hd_to_als,xgb,left_stride_s,0.0
hd_to_als,xgb,right_stride_s,0.0
hd_to_als,xgb,left_swing_s,0.0
hd_to_als,xgb,right_swing_s,0.0
hd_to_als,xgb,left_swing_pct,0.0
hd_to_als,xgb,right_swing_pct,0.0
hd_to_als,xgb,left_stance_s,0.0
hd_to_als,xgb,right_stance_s,0.0
hd_to_als,xgb,double_support_s,0.0
hd_to_als,xgb,double_support_pct,0.0
hd_to_als,xgb,asymmetry_index,0.0
hd_to_als,xgb,cv_stride,6.345934999707481e-09
hd_to_als,xgb,cv_swing,0.0
hd_to_als,xgb,dfa_alpha_stride,0.0
hd_to_pd,dt,left_stride_s,0.0
hd_to_pd,dt,right_stride_s,0.0
hd_to_pd,dt,left_swing_s,0.0
hd_to_pd,dt,right_swing_s,0.0
hd_to_pd,dt,left_swing_pct,0.0
hd_to_pd,dt,right_swing_pct,0.0
hd_to_pd,dt,left_stance_s,0.0
hd_to_pd,dt,right_stance_s,0.0
hd_to_pd,dt,double_support_s,0.0
hd_to_pd,dt,double_support_pct,0.0
hd_to_pd,dt,asymmetry_index,0.0
hd_to_pd,dt,cv_stride,2.3869795029440866e-15
hd_to_pd,dt,cv_swing,0.0
hd_to_pd,dt,dfa_alpha_stride,0.0
hd_to_pd,knn,left_stride_s,0.017503173717177405
hd_to_pd,knn,right_stride_s,0.01831534988309568
hd_to_pd,knn,left_swing_s,0.012726880412369673
hd_to_pd,knn,right_swing_s,0.013558035690866641
hd_to_pd,knn,left_swing_pct,0.008183139386861125
hd_to_pd,knn,right_swing_pct,0.005858833424335378
hd_to_pd,knn,left_stance_s,0.016083112824638614
hd_to_pd,knn,right_stance_s,0.010277835492793014
hd_to_pd,knn,double_support_s,0.0029602769160611067
hd_to_pd,knn,double_support_pct,0.0017606699291683077
hd_to_pd,knn,asymmetry_index,0.010352740787819566
hd_to_pd,knn,cv_stride,0.023411462287522763
hd_to_pd,knn,cv_swing,0.016030773406866275
hd_to_pd,knn,dfa_alpha_stride,0.007238515434761075
hd_to_pd,lgbm,left_stride_s,1.0839234970555875e-11
hd_to_pd,lgbm,right_stride_s,5.779867268098979e-12
hd_to_pd,lgbm,left_swing_s,3.640224456946765e-12
hd_to_pd,lgbm,right_swing_s,3.1336609641545643e-12
hd_to_pd,lgbm,left_swing_pct,0.0
hd_to_pd,lgbm,right_swing_pct,0.0
hd_to_pd,lgbm,left_stance_s,2.847384018134123e-12
hd_to_pd,lgbm,right_stance_s,0.0
hd_to_pd,lgbm,double_support_s,0.0
hd_to_pd,lgbm,double_support_pct,0.0
hd_to_pd,lgbm,asymmetry_index,0.0
hd_to_pd,lgbm,cv_stride,3.820460614534227e-11
hd_to_pd,lgbm,cv_swing,0.0
hd_to_pd,lgbm,dfa_alpha_stride,0.0
hd_to_pd,qda,left_stride_s,0.0005788259463839728
hd_to_pd,qda,right_stride_s,0.0060349726806991424
hd_to_pd,qda,left_swing_s,0.001765611366234307
hd_to_pd,qda,right_swing_s,0.003410188153864402
hd_to_pd,qda,left_swing_pct,0.0016388523166700891
hd_to_pd,qda,right_swing_pct,0.004114341538839376
hd_to_pd,qda,left_stance_s,0.003695511960466101
hd_to_pd,qda,right_stance_s,0.0037989019597039417
hd_to_pd,qda,double_support_s,0.0038259324203953407
hd_to_pd,qda,double_support_pct,0.0028827925592176742
hd_to_pd,qda,asymmetry_index,0.004069568123720179
hd_to_pd,qda,cv_stride,0.032222527553123916
hd_to_pd,qda,cv_swing,0.01255973288525539
hd_to_pd,qda,dfa_alpha_stride,0.006421885271181184
hd_to_pd,rf,left_stride_s,0.0005654939708602839
hd_to_pd,rf,right_stride_s,0.0006104920159150191
hd_to_pd,rf,left_swing_s,0.0004909139227758687
hd_to_pd,rf,right_swing_s,3.908616935617082e-05
hd_to_pd,rf,left_swing_pct,0.0007164920215216872
hd_to_pd,rf,right_swing_pct,0.0001538889854303903
hd_to_pd,rf,left_stance_s,0.0002638207502800947
hd_to_pd,rf,right_stance_s,0.0002143169515717372
hd_to_pd,rf,double_support_s,0.0015462250667889425
hd_to_pd,rf,double_support_pct,0.00032004003790175005
hd_to_pd,rf,asymmetry_index,0.002529367307560154
hd_to_pd,rf,cv_stride,0.01214589657500964
hd_to_pd,rf,cv_swing,0.005748145485250489
hd_to_pd,rf,dfa_alpha_stride,0.0012644896050710147
hd_to_pd,svm,left_stride_s,0.009125536699138539
hd_to_pd,svm,right_stride_s,0.009242632844731539
hd_to_pd,svm,left_swing_s,0.00017973498392069923
hd_to_pd,svm,right_swing_s,0.007204246236610272
hd_to_pd,svm,left_swing_pct,0.0007731135763424275
hd_to_pd,svm,right_swing_pct,0.0010059324451688013
hd_to_pd,svm,left_stance_s,0.009686440454289829
hd_to_pd,svm,right_stance_s,0.002214134040112302
hd_to_pd,svm,double_support_s,0.0031423271062495928
hd_to_pd,svm,double_support_pct,0.0024143932512732565
hd_to_pd,svm,asymmetry_index,0.007612011853081526
hd_to_pd,svm,cv_stride,0.07358998783561255
hd_to_pd,svm,cv_swing,0.0005849490378700972
hd_to_pd,svm,dfa_alpha_stride,0.00986629852317969
hd_to_pd,xgb,left_stride_s,0.0
hd_to_pd,xgb,right_stride_s,0.0
hd_to_pd,xgb,left_swing_s,0.0
hd_to_pd,xgb,right_swing_s,0.0
hd_to_pd,xgb,left_swing_pct,0.0
hd_to_pd,xgb,right_swing_pct,0.0
hd_to_pd,xgb,left_stance_s,0.0
hd_to_pd,xgb,right_stance_s,0.0
hd_to_pd,xgb,double_support_s,0.0
hd_to_pd,xgb,double_support_pct,0.0
hd_to_pd,xgb,asymmetry_index,0.0
hd_to_pd,xgb,cv_stride,7.716050021144838e-15
hd_to_pd,xgb,cv_swing,0.0
hd_to_pd,xgb,dfa_alpha_stride,0.0
pd_to_als,dt,left_stride_s,0.0011400359317289368
pd_to_als,dt,right_stride_s,0.03645097287841171
pd_to_als,dt,left_swing_s,0.0
pd_to_als,dt,right_swing_s,0.0
pd_to_als,dt,left_swing_pct,0.0
pd_to_als,dt,right_swing_pct,0.0
pd_to_als,dt,left_stance_s,0.0
pd_to_als,dt,right_stance_s,0.0
pd_to_als,dt,double_support_s,0.0
pd_to_als,dt,double_support_pct,0.0
pd_to_als,dt,asymmetry_index,2.075550666475192e-18
pd_to_als,dt,cv_stride,0.04335049829957499
pd_to_als,dt,cv_swing,0.0
pd_to_als,dt,dfa_alpha_stride,0.02728438863074344
pd_to_als,knn,left_stride_s,0.014112939869270837
pd_to_als,knn,right_stride_s,0.014043922758795156
pd_to_als,knn,left_swing_s,0.008891380811942403
pd_to_als,knn,right_swing_s,0.0003661167491221945
pd_to_als,knn,left_swing_pct,0.0008953898625871214
pd_to_als,knn,right_swing_pct,0.0013399174059996674
pd_to_als,knn,left_stance_s,0.012754544369102328
pd_to_als,knn,right_stance_s,0.013348067546950854
pd_to_als,knn,double_support_s,0.005776993157329002
pd_to_als,knn,double_support_pct,0.001554556695814606
pd_to_als,knn,asymmetry_index,0.0015663986723014577
pd_to_als,knn,cv_stride,0.01000015356046205
pd_to_als,knn,cv_swing,0.015365039636274155
pd_to_als,knn,dfa_alpha_stride,0.02309732427642703
pd_to_als,lgbm,left_stride_s,0.010694517385086278
pd_to_als,lgbm,right_stride_s,0.02234018990239702
pd_to_als,lgbm,left_swing_s,0.0009215766725227982
pd_to_als,lgbm,right_swing_s,6.668666159942436e-06
pd_to_als,lgbm,left_swing_pct,0.0001859198012914896
pd_to_als,lgbm,right_swing_pct,9.782342531318964e-05
pd_to_als,lgbm,left_stance_s,0.0029866087126032047
pd_to_als,lgbm,right_stance_s,0.004700995992010574
pd_to_als,lgbm,double_support_s,0.005427528781192788
pd_to_als,lgbm,double_support_pct,0.00021817065775294288
pd_to_als,lgbm,asymmetry_index,2.2196406984008413e-06
pd_to_als,lgbm,cv_stride,0.02453496614800682
pd_to_als,lgbm,cv_swing,0.017597509653884166
pd_to_als,lgbm,dfa_alpha_stride,0.0021180884651782646
pd_to_als,qda,left_stride_s,0.012704135567591576
pd_to_als,qda,right_stride_s,0.017505072136928746
pd_to_als,qda,left_swing_s,0.004907276769816948
pd_to_als,qda,right_swing_s,0.00042310824365413696
pd_to_als,qda,left_swing_pct,0.0017650575236227693
pd_to_als,qda,right_swing_pct,0.003102107433723026
