scope,domain,classifier,variant,sigma,mean_f1,std_f1
cross,pd_to_hd,knn,source_relative,0.5,0.7374234333333334,0.004723441824328536
cross,pd_to_hd,svm,source_relative,0.0,0.804983,0.0
cross,pd_to_hd,svm,source_relative,0.05,0.8047509999999999,0.0015911312826478786
cross,pd_to_hd,svm,source_relative,0.1,0.8045697666666666,0.002251836563606557
cross,pd_to_hd,svm,source_relative,0.15,0.8041414333333333,0.003074834727078927
cross,pd_to_hd,svm,source_relative,0.2,0.8025551,0.002745801262994478
cross,pd_to_hd,svm,source_relative,0.25,0.7999829666666668,0.0027608290669256627
cross,pd_to_hd,svm,source_relative,0.5,0.7792523666666665,0.005199545931656184
cross,pd_to_hd,dt,source_relative,0.0,0.808212,0.0
cross,pd_to_hd,dt,source_relative,0.05,0.8031815000000001,0.0024426932105136886
cross,pd_to_hd,dt,source_relative,0.1,0.8098151666666669,0.002303011058762336
cross,pd_to_hd,dt,source_relative,0.15,0.8124924000000001,0.003704216065791636
cross,pd_to_hd,dt,source_relative,0.2,0.8084261666666666,0.003827895488099957
cross,pd_to_hd,dt,source_relative,0.25,0.8005544,0.004046781041766406
cross,pd_to_hd,dt,source_relative,0.5,0.7511136333333331,0.005560149418008001
cross,pd_to_hd,qda,source_relative,0.0,0.853409,0.0
cross,pd_to_hd,qda,source_relative,0.05,0.8472976666666666,0.001591503482036194
cross,pd_to_hd,qda,source_relative,0.1,0.8381066333333334,0.002178196034421097
cross,pd_to_hd,qda,source_relative,0.15,0.8263472666666666,0.0026170250408369873
cross,pd_to_hd,qda,source_relative,0.2,0.8124176999999998,0.002883127434479483
cross,pd_to_hd,qda,source_relative,0.25,0.7969672,0.004133551402849618
cross,pd_to_hd,qda,source_relative,0.5,0.6866679666666666,0.0058449017659857275
cross,pd_to_hd,xgb,source_relative,0.0,0.809681,0.0
cross,pd_to_hd,xgb,source_relative,0.05,0.8279679333333334,0.0021705659826546327
cross,pd_to_hd,xgb,source_relative,0.1,0.8210856333333332,0.003141460427817002
cross,pd_to_hd,xgb,source_relative,0.15,0.8176243,0.003265578357710131
cross,pd_to_hd,xgb,source_relative,0.2,0.8131871666666668,0.003496633633134562
cross,pd_to_hd,xgb,source_relative,0.25,0.8076801333333333,0.0034194505883894245
